n	density	trial	time_sec
80	70	20	0.035862
100	70	1	0.075099
100	70	2	0.079560
100	70	3	0.073226
100	70	4	0.079669
100	70	5	0.078532
100	70	6	0.071033
100	70	7	0.083297
100	70	8	0.074511
100	70	9	0.070407
100	70	10	0.079675
100	70	11	0.072878
100	70	12	0.071152
100	70	13	0.076745
100	70	14	0.071686
100	70	15	0.071775
100	70	16	0.077678
100	70	17	0.085076
100	70	18	0.077749
100	70	19	0.079044
100	70	20	0.068577
120	70	1	0.132116
120	70	2	0.124088
120	70	3	0.126906
120	70	4	0.118682
120	70	5	0.120375
120	70	6	0.125917
120	70	7	0.127475
120	70	8	0.138958
120	70	9	0.118681
120	70	10	0.129931
120	70	11	0.139366
120	70	12	0.131447
120	70	13	0.123115
120	70	14	0.117634
120	70	15	0.134418
120	70	16	0.133622
120	70	17	0.122823
120	70	18	0.119343
120	70	19	0.134133
120	70	20	0.120235
140	70	1	0.198897
140	70	2	0.212553
140	70	3	0.203631
140	70	4	0.207966
140	70	5	0.204501
140	70	6	0.190395
140	70	7	0.189769
140	70	8	0.188722
140	70	9	0.194951
140	70	10	0.205803
140	70	11	0.185531
140	70	12	0.195628
140	70	13	0.186714
140	70	14	0.203566
140	70	15	0.200733
140	70	16	0.206494
140	70	17	0.206444
140	70	18	0.191364
140	70	19	0.195878
140	70	20	0.202728
160	70	1	0.295330
160	70	2	0.281108
160	70	3	0.304445
160	70	4	0.310510
160	70	5	0.301991
160	70	6	0.324632
160	70	7	0.316597
160	70	8	0.297705
160	70	9	0.289824
160	70	10	0.335849
160	70	11	0.807095
160	70	12	0.735395
160	70	13	0.746761
160	70	14	0.735985
160	70	15	0.709976
160	70	16	0.810799
160	70	17	1.077350
160	70	18	0.704459
160	70	19	0.704913
160	70	20	0.748236
180	70	1	0.992280
180	70	2	0.981552
180	70	3	1.008355
180	70	4	0.987157
180	70	5	1.065060
180	70	6	1.036701
180	70	7	1.173348
180	70	8	1.038282
180	70	9	1.075148
180	70	10	1.005032
180	70	11	0.998511
180	70	12	0.994040
180	70	13	0.984028
180	70	14	0.980684
180	70	15	1.028485
180	70	16	0.997004
180	70	17	1.015418
180	70	18	1.005391
180	70	19	1.006009
180	70	20	1.044603
200	70	1	1.340434
200	70	2	1.372171
200	70	3	1.406291
200	70	4	1.360420
200	70	5	1.378220
200	70	6	1.405705
200	70	7	1.384676
200	70	8	1.341541
200	70	9	1.369906
200	70	10	1.326850
200	70	11	1.396130
200	70	12	1.358215
200	70	13	1.355448
200	70	14	1.375977
200	70	15	1.425832
200	70	16	1.393664
200	70	17	1.353257
200	70	18	1.412303
200	70	19	1.356846
200	70	20	1.370375
20	90	1	0.001399
20	90	2	0.001407
20	90	3	0.001385
20	90	4	0.001379
20	90	5	0.001398
20	90	6	0.001569
20	90	7	0.001411
20	90	8	0.001400
20	90	9	0.001392
20	90	10	0.001394
20	90	11	0.001395
20	90	12	0.001402
20	90	13	0.001387
20	90	14	0.001797
20	90	15	0.001384
20	90	16	0.001391
20	90	17	0.001387
20	90	18	0.001407
20	90	19	0.001391
20	90	20	0.001392
40	90	1	0.010494
40	90	2	0.010588
40	90	3	0.010514
40	90	4	0.010440
40	90	5	0.010440
40	90	6	0.010429
40	90	7	0.010261
40	90	8	0.010763
40	90	9	0.010664
40	90	10	0.010599
40	90	11	0.010455
40	90	12	0.010484
40	90	13	0.010342
40	90	14	0.014168
40	90	15	0.013792
40	90	16	0.012971
40	90	17	0.012394
40	90	18	0.013668
40	90	19	0.013131
40	90	20	0.011008
60	90	1	0.034929
60	90	2	0.035904
60	90	3	0.038124
60	90	4	0.039094
60	90	5	0.037022
60	90	6	0.035976
60	90	7	0.051004
60	90	8	0.054389
60	90	9	0.036250
60	90	10	0.043243
60	90	11	0.039691
60	90	12	0.058388
60	90	13	0.038265
60	90	14	0.034671
60	90	15	0.036865
60	90	16	0.039116
60	90	17	0.041758
60	90	18	0.037147
60	90	19	0.052039
60	90	20	0.042551
80	90	1	0.096725
80	90	2	0.123084
80	90	3	0.112672
80	90	4	0.109418
80	90	5	0.117809
80	90	6	0.086538
80	90	7	0.081994
80	90	8	0.080395
80	90	9	0.092101
80	90	10	0.082431
80	90	11	0.083792
80	90	12	0.099077
80	90	13	0.086810
80	90	14	0.089768
80	90	15	0.085054
80	90	16	0.091699
80	90	17	0.085012
80	90	18	0.101896
80	90	19	0.097460
80	90	20	0.090083
100	90	1	0.164175
100	90	2	0.161522
100	90	3	0.165240
100	90	4	0.160668
100	90	5	0.166047
100	90	6	0.161599
100	90	7	0.186965
100	90	8	0.161996
100	90	9	0.160698
100	90	10	0.160762
100	90	11	0.170946
100	90	12	0.169640
100	90	13	0.163777
100	90	14	0.156726
100	90	15	0.164867
100	90	16	0.167368
100	90	17	0.165493
100	90	18	0.156780
100	90	19	0.162924
100	90	20	0.162627
120	90	1	0.279350
120	90	2	0.287402
120	90	3	0.279110
120	90	4	0.282336
120	90	5	0.273401
120	90	6	0.279348
120	90	7	0.277011
120	90	8	0.277335
120	90	9	0.300404
120	90	10	0.285014
120	90	11	0.280913
120	90	12	0.290758
120	90	13	0.280502
120	90	14	0.275300
120	90	15	0.288797
120	90	16	0.286595
120	90	17	0.269539
120	90	18	0.276102
120	90	19	0.295535
120	90	20	0.275808
140	90	1	0.445533
140	90	2	0.462325
140	90	3	0.438328
140	90	4	0.453959
140	90	5	0.443616
140	90	6	0.463535
140	90	7	0.440424
140	90	8	0.465279
140	90	9	0.436526
140	90	10	0.433781
140	90	11	0.458907
140	90	12	0.435057
140	90	13	0.504154
140	90	14	0.505548
140	90	15	0.532888
140	90	16	0.472253
140	90	17	0.450380
140	90	18	0.464057
140	90	19	0.476716
140	90	20	0.443789
160	90	1	0.663094
160	90	2	0.698574
160	90	3	0.649661
160	90	4	0.668308
160	90	5	0.661779
160	90	6	0.761120
160	90	7	0.721890
160	90	8	0.686905
160	90	9	0.668524
160	90	10	0.648541
160	90	11	0.669384
160	90	12	0.643243
160	90	13	0.669189
160	90	14	0.691717
160	90	15	0.684626
160	90	16	0.674738
